name,latitude,longitude,altitude,number,
Kansas Union NB,38.95944216,-95.24305344,306.248,171,
Kansas Union SB,38.95945718,-95.2429084,306.32,173,
Fraser Hall,38.9576735,-95.24389029,312.647,168,
Budig/Wescoe,38.95810733,-95.24861097,309.47,456,
15th & Green Hall,38.95698312,-95.25326729,289.738,371,
Jayhawker Towers,38.95698104,-95.25511265,291.691,370,
Bailey Hall westbound,38.95757756,-95.24642229,311.41,373,
Snow Hall westbound,38.95857869,-95.24928689,308.932,455,
Engineering,38.95715207,-95.25382519,289.36,369,
GSP & Corbin,38.96492724,-95.24188399,293.629,277,
Computer Center,38.95520606,-95.24693996,284.339,388,
Robinson Gym,38.95519563,-95.25008082,280.604,387,
Naismith Dr @ Oliver Hall,38.95112614,-95.25111884,270.397,379,
19th & Naismith,38.95013116,-95.2521944,269.255,372,
Oswald Hall,38.95417776,-95.25987625,312.612,381,
18th & Naismith,38.9513172,-95.2505967,270.125,228,
Ambler Student Recreation & Fitness Center,38.95245068,-95.24883091,270.708,389,
Cap Fed Hall,38.95328085,-95.25010765,273.153,226,
Becker Drive Stop #1,38.9455344,-95.2630721,273.901,375,
Becker Drive Stop #2,38.9455408,-95.2647351,270.827,376,
Becker Drive Stop #3,38.94616777,-95.2661097,271.701,377,
Becker Drive Stop #4,38.94709397,-95.26672125,274.816,378,
School of Pharmacy,38.94892965,-95.26399612,280.5,255,
Simons Labs,38.9473038,-95.2612612,279.853,458,
Nichols Hall,38.95225878,-95.26281059,307.459,274,
Kansas Geological Survey SB,38.94955543,-95.26217222,291.843,256,x
Spencer Museum of Art,38.96232449,-95.24445891,277.364,177,
Memorial Stadium,38.96035151,-95.24454474,283.235,175,
Fambrough & Alabama,38.964214,-95.24638206,272.044,360,
Carruth-O'Leary,38.96127961,-95.25112957,315.781,359,
Lewis Hall,38.9557713,-95.25836349,308.717,380,
Allen Fieldhouse Garage,38.9558768,-95.2533004,283.666,216,
11th & Louisiana,38.9636801,-95.24165869,293.381,286,
Stauffer-Flint,38.9567727,-95.2464625,310.567,382,x
Murphy Hall (1),38.95670989,-95.25209248,291.53,238,x
Murphy Hall (2),38.95670989,-95.25209248,291.53,233,x
Lippincott,38.9577409,-95.2440469,312.731,166,x
Murphy Southbound,38.95548764,-95.25164187,282.352,457,x
DeBruce Center / Allen Fieldhouse,38.9554277,-95.2516795,283.518,219,x
Pioneer Cemetary,38.952508,-95.262754,311.513,273,x
Kansas Geological Survey NB,,,,254,x
11th & Indiana,38.96364256,-95.24304271,283.374,357,
Irving Hill & Engel Road,38.95355201,-95.25974751,311.277,252,
19th & Constant Avenue,38.950046,-95.2614056,294.544,253,
Irving Hill & Engel Road Station,38.95353532,-95.25923789,309.796,374,
Templin Hall,38.9564304,-95.25850028,308.978,251,
19th & Naismith,38.95112614,-95.25111884,270.397,348,
Bob Billings & Crestline,38.95691847,-95.26757956,277.629,91,
Bob Billings & Westbrooke,38.9571187,-95.27173162,275.764,288,
19th & Naismith K10 Stop,38.94947617,-95.25143802,268.323,351,
19th & Applecroft Apts,38.94995594,-95.2571404,276.193,106,
Hashinger Hall Station,38.95373973,-95.25947392,311.33,,x
