route_number,stop_number,start_time,end_time,shift,schedule,line
10,171,6:49 AM,7:49 PM,1,All,
11,171,6:48 AM,7:48 PM,1,A,
29,171,7:25 AM,5:45 PM,1,All,
36,171,7:23 AM,5:53 PM,1,All,
53,171,9:18 PM,2:38 AM,1,All,
11,171,6:52 AM,7:32 PM,1,B,
30,171,7:30 AM,5:30 PM,1,All,
38,171,7:37 AM,5:37 PM,Alternate,All,
43,171,7:20 AM,12:00 PM,1,All,
43,171,12:00 PM,1:30 PM,2,All,
43,171,1:30 PM,5:30 PM,3,All,
10,168,6:47 AM,7:47 PM,1,All,
11,168,6:46 AM,7:46 PM,1,A,
29,168,7:23 AM,5:43 PM,1,All,
36,168,7:21 AM,5:51 PM,1,All,
53,168,9:16 PM,2:36 AM,1,All,
11,168,6:50 AM,7:30 PM,1,B,
30,168,7:28 AM,5:28 PM,1,All,
38,168,7:35 AM,5:35 PM,Alternate,All,
43,168,7:20 AM,12:00 PM,1,All,
43,168,12:00 PM,1:30 PM,2,All,
43,168,1:30 PM,5:30 PM,3,All,
10,382,6:46 AM,7:46 PM,1,All,
11,382,6:45 AM,7:45 PM,1,A,
29,382,7:25 AM,5:45 PM,1,All,
36,382,7:23 AM,5:53 PM,1,All,
53,382,9:15 PM,2:35 AM,1,All,
11,382,6:49 AM,7:29 PM,1,B,
30,382,7:27 AM,5:27 PM,1,All,
38,382,7:34 AM,5:34 PM,Alternate,All,
43,382,7:20 AM,12:00 PM,1,All,
43,382,12:00 PM,1:30 PM,2,All,
43,382,1:30 PM,5:30 PM,3,All,
10,456,6:45 AM,7:45 PM,1,All,
11,456,6:42 AM,7:42 PM,1,A,
29,456,7:20 AM,5:40 PM,1,All,
36,456,7:18 AM,5:48 PM,1,All,
53,456,9:13 PM,2:33 AM,1,All,
11,456,6:47 AM,7:27 PM,1,B,
30,456,7:25 AM,5:25 PM,1,All,
38,456,7:32 AM,5:32 PM,Alternate,All,
43,456,7:20 AM,12:00 PM,1,All,
43,456,12:00 PM,1:30 PM,2,All,
43,456,1:30 PM,5:30 PM,3,All,
11,238,6:40 AM,7:40 PM,1,A,
38,238,7:31 AM,5:31 PM,Alternate,All,
11,238,6:45 AM,7:25 PM,1,B,
38,233,7:31 AM,5:31 PM,Alternate,All,
52,233,9:35 PM,2:55 AM,1,All,
53,233,9:45 PM,3:05 AM,1,All,
10,371,6:43 AM,7:43 PM,1,All,
30,371,7:24 AM,5:24 PM,1,All,
53,371,9:12 PM,2:32 AM,1,All,
29,371,7:19 AM,5:39 PM,1,All,
43,371,7:20 AM,12:00 PM,1,All,
43,371,12:00 PM,1:30 PM,2,All,
43,371,1:30 PM,5:30 PM,3,All,
10,370,6:43 AM,7:43 PM,1,All,
30,370,7:24 AM,5:24 PM,1,All,
53,370,9:12 PM,2:32 PM,1,All,
29,370,7:19 AM,5:39 PM,1,All,
43,370,7:20 AM,12:00 PM,1,All,
43,370,12:00 PM,1:30 PM,2,All,
43,370,1:30 PM,5:30 PM,3,All,
10,173,6:09 AM,7:09 PM,1,All,
11,173,6:45 AM,7:45 PM,1,A,
29,173,7:33 AM,5:53 PM,1,All,
36,173,7:40 AM,5:40 PM,1,All,
11,173,6:33 AM,7:13 PM,1,B,
30,173,7:38 AM,5:40 PM,1,All,
38,173,7:46 AM,5:46 PM,Alternate,All,
43,173,7:20 AM,12:00 PM,1,All,
43,173,12:00 PM,1:30 PM,2,All,
43,173,1:30 PM,5:30 PM,3,All,
10,166,6:09 AM,7:09 PM,1,All,
11,166,6:45 AM,7:45 PM,1,A,
29,166,7:33 AM,5:53 PM,1,All,
36,166,7:40 AM,5:40 PM,1,All,
11,166,6:33 AM,7:13 PM,1,B,
30,166,7:38 AM,5:40 PM,1,All,
38,166,7:46 AM,5:46 PM,Alternate,All,
43,166,7:20 AM,12:00 PM,1,All,
43,166,12:00 PM,1:30 PM,2,All,
43,166,1:30 PM,5:30 PM,3,All,
10,373,6:11 AM,7:11 PM,1,All,
11,373,6:47 AM,7:47 PM,1,A,
27,373,7:23 AM,6:03 PM,1,All,
30,373,7:40 AM,5:40 PM,1,All,
38,373,7:48 AM,5:48 PM,Alternate,All,
11,373,6:35 AM,7:15 PM,1,B,
29,373,7:35 AM,5:55 PM,1,All,
36,373,7:42 AM,5:42 PM,1,All,
41,373,6:30 AM,7:00 AM,1,A,
41,373,7:00 AM,3:00 PM,2,A,
41,373,3:00 PM,5:30 PM,3,A,
41,373,5:36 PM,10:06 PM,4,A,
41,373,6:36 AM,6:06 PM,1,B,
42,373,7:16 AM,6:01 PM,1,All,Northbound to JRP / 11th & Mississippi
42,373,6:01 PM,10:01 PM,2,All,Northbound to JRP / 11th & Mississippi
42,373,7:33 AM,6:18 PM,1,All,Southbound to Rec Center
42,373,6:18 PM,10:18 PM,2,All,Southbound to Rec Center
43,373,7:20 AM,12:00 PM,1,All,
43,373,12:00 PM,1:30 PM,2,All,
43,373,1:30 PM,5:30 PM,3,All,
10,455,6:12 AM,7:12 PM,1,All,
11,455,6:48 AM,7:48 PM,1,A,
27,455,7:25 AM,6:05 PM,1,All,
30,455,7:38 AM,5:40 PM,1,All,
38,455,7:49 AM,5:49 PM,Alternate,All,
11,455,6:36 AM,7:16 PM,1,B,
29,455,7:36 AM,6:16 PM,1,All,
36,455,7:43 AM,5:43 PM,1,All,
41,455,6:30 AM,7:00 AM,1,A,
41,455,7:00 AM,3:00 PM,2,A,
41,455,3:00 PM,5:30 PM,3,A,
41,455,5:50 PM,10:20 PM,4,A,
41,455,6:50 AM,6:20 PM,1,B,
42,455,7:19 AM,6:04 PM,1,All,Northbound to JRP / 11th & Mississippi
42,455,6:04 PM,10:04 PM,2,All,Northbound to JRP / 11th & Mississippi
42,455,7:35 AM,6:20 PM,1,All,Southbound to Rec Center
42,455,6:20 PM,10:20 PM,2,All,Southbound to Rec Center
43,455,7:20 AM,12:00 PM,1,All,
43,455,12:00 PM,1:30 PM,2,All,
43,455,1:30 PM,5:30 PM,3,All,
27,369,7:27 AM,6:07 PM,1,All,
38,369,7:51 AM,5:51 PM,Alternate,All,
42,369,7:35 AM,5:50 PM,1,All,
42,369,6:05 PM,10:20 PM,2,All,
27,457,7:27 AM,6:07 PM,1,All,
38,457,7:51 AM,5:51 PM,Alternate,All,
42,457,7:35 AM,5:50 PM,1,All,
42,457,6:05 PM,10:20 PM,2,All,
42,219,5:27 PM,5:57 PM,1,All,
42,219,6:12 PM,10:12 PM,2,All,
43,219,7:20 AM,12:00 PM,1,All,
43,219,12:00 PM,1:30 PM,2,All,
43,219,1:30 PM,5:30 PM,3,All,
53,219,9:21 PM,2:41 PM,1,All,
27,277,7:21 AM,6:01 PM,1,All,
41,277,6:30 AM,7:00 AM,1,A,
41,277,7:00 AM,3:00 PM,2,A,
41,277,3:00 PM,5:30 PM,3,A,
41,277,5:56 PM,10:06 PM,4,A,
41,277,6:35 AM,6:05 PM,1,B,
42,277,7:14 AM,5:44 PM,1,All,Northbound to JRP / 11th & Mississippi
42,277,6:59 PM,9:59 PM,2,All,Northbound to JRP / 11th & Mississippi
27,388,7:20 AM,6:00 PM,1,All,
41,388,6:30 AM,7:00 AM,1,A,
41,388,7:00 AM,3:00 PM,2,A,
41,388,3:00 PM,5:30 PM,3,A,
41,388,5:35 PM,10:05 PM,4,A,
41,388,6:35 AM,6:05 PM,1,B,
42,388,7:13 AM,5:43 PM,1,All,Northbound to JRP / 11th & Mississippi
42,388,5:58 PM,9:58 PM,2,All,Northbound to JRP / 11th & Mississippi
27,387,7:28 AM,6:08 PM,1,All,
38,387,7:52 AM,5:52 PM,Alternate,All,
27,379,7:28 AM,6:08 PM,1,All,
38,379,7:26 AM,5:26 PM,Alternate,All,
52,379,9:34 PM,2:54 AM,1,All,
53,379,9:44 PM,3:04 AM,1,All,
43,372,7:20 AM,12:00 PM,1,All,
43,372,12:00 PM,1:30 PM,2,All,
43,372,1:30 PM,5:30 PM,3,All,
52,372,9:38 PM,2:58 AM,1,All,
53,372,9:48 PM,3:08 AM,1,All,
43,381,7:20 AM,12:00 PM,1,All,
43,381,12:00 PM,1:30 PM,2,All,
