name,latitude,longitude,locatable_type,image,description,address
Adams Alumni Center,38.960401,-95.242294,Building,,"The redbrick classical-style building, designed by Kiene & Bradley Architectural Partnership of Topeka, was dedicated May 14, 1983, in the centennial year of the Alumni Association. The association had been housed in Fraser and Strong halls, Sudler House and the Kansas Union before the new center was built. An alumni fund drive raised $4.2 million for construction, and the KU Endowment Association donated a site northeast of the Kansas Union.

The building has reception areas; conference and meeting rooms; a lounge and library; a club and activity rooms for retired faculty; and administrative, programs, publications and records staff offices. The center is named in memory of K.S. \Boots\ Adams, a former student who went to work for Phillips Petroleum in Bartlesville, Okla., in 1920 to earn enough money to complete his KU business degree and retired as chief executive officer. His widow and seven children, five of them KU alumni, were major donors. The retired faculty club is named for Paul Endacott, a 1923 engineering alumnus and basketball star who also was a key executive at Phillips. He, his wife and two sons, also alumni, donated the funds for it.

Incorporated into the building are architectural elements salvaged from Old Fraser Hall: wrought-iron railings from the towers, doors used as paneling, and balusters used as room dividers.","1266 Oread Ave, Lawrence, KS 66045"
Allen Fieldhouse,38.954318,-95.25269,Building,,"The fieldhouse, which opened March 1, 1955, is named for Forrest C. \Phog\ Allen, longtime basketball coach who played for and was trained by James Naismith, the game's founder, a longtime KU professor of physical culture and its first basketball coach. The fieldhouse and its basketball court, now named for Naismith, superseded the facilities at the original Robinson Gymnasium, built in 1907 and razed in the late 1960s, and Hoch Auditorium, where games were played from 1927 to 1955. Like those facilities, the fieldhouse also has been the site of concerts and university functions.

The fieldhouse, a limestone structure designed by State Architect Charles L. Marshall, seats 16,300 and has concession and media facilities. It houses media relations offices; systems information; facilities and events management; baseball, rowing and Spirit Squad coaches; men's and women's track offices; an Olympic sports equipment room; locker rooms for rowing, soccer, softball and men's and women's basketball teams and staff and officials; and athletics human resources and other administrative offices.

It was renovated in 1974-75, including a new court floor, and again in 1993. In spring 2005 the exterior was cleaned and other renovations done before construction began on the two-story, 26,000-square-foot Booth Family Hall of Athletics on the east face, designed by HOK Sport+Venue+Event of Kansas City, Mo. The hall was made possible by donations from the children of Gilbert and Betty Booth, longtime KU supporters who lived near the fieldhouse. It opened Jan. 21, 2006, and houses a hall of fame for Kansas athletes and sports, with a special emphasis on the contributions of Naismith and Allen to KU’s basketball traditions. The hall also includes the ticket office;www.kustore.com; and donor, alumni and recruiting meeting rooms.

Booth Hall was expanded, including new interactive exhibits, as part of a $41-million renovation to the Fieldhouse complex completed in late 2009. The projects included a new 11,600-square-foot basketball practice facility for men and women; an enlarged volleyball facility in Horejsi; remodeled locker rooms and offices in Wagnon-Parrott for softball, soccer, track, and other sports; new locker rooms in Anschutz Pavilion; and new tutoring rooms, computer lab, and staff offices in student support services. The second floor of a new atrium linking Wagnon-Parrott with the Fieldhouse is a multifunction space adaptable for receptions and exhibitions.

In the Fieldhouse, locker rooms, restrooms, concourses and concession areas were remodeled; mechanical and electrical improvements were made; and a two-level bridge to the parking garage was added.

Construction began in fall 2014 on the DeBruce Center, which will house Naismith's original \Rules of Basket Ball\ as well as a student center and meeting rooms. The three-story, $18 million center adjoining the northeast corner of the Fieldhouse and the Booth Hall of Athletics will be named for Paul and Katherine DeBruce, 1973 alumni who are primary donors.

Naismith wrote the rules of the game he invented in December 1891. The sheets of paper, typewritten and annotated by Naismith, were purchased for $4.3 million at auction in December 2010 and donated to KU by David and Suzanne Deal Booth, alumni whose family funded the hall of athletics.","1651 Naismith Drive, Lawrence, KS 66045"
Ambler Student Recreation Fitness Center,38.952444,-95.248826,Building,,"Increasing demand for both educational and recreational sports facilities spurred the decision in the late 1990s to build a new student center. The $17-million facility south of Watkins Memorial Health Center, funded by student fees, was dedicated Sept. 25, 2003. In December 2007, it was named in honor of David A. Ambler, the longtime vice chancellor for student affairs who was a strong advocate for a new recreation fitness center.

The 98,000-square-foot center, conceived by Ken Ebert Design Group of Manhattan, has a suspended track, a rock-climbing wall, cardiovascular and resistance training equipment, weight rooms, aerobic and martial-arts studios and basketball, volleyball and racquetball courts; and Recreation Services offices. 

A $6.3-million addition of approximately 45,000 square feet to the north side of the center includes four gym courts, racquetball courts, a martial-arts studio; and an extended track elevated over all eight courts. It was opened Oct. 24, 2008, when the building was dedicated to Ambler.","1740 Watkins Center Dr, Lawrence, KS 66046"
Anderson Family Football Complex,38.961955,-95.24729,Building,,"The $31-million football complex adjacent to Memorial Stadium, begun in October 2006, opened in August 2008. HNTB Architecture of Kansas City, Mo., oversaw plans for the 80,000-square-foot complex. It includes academic areas; locker rooms; facilities for weight and cardio training, hydrotherapy, audio-visual screenings and nutrition; coaches’ offices; two practice fields; and new parking lots. The roof of the weight room, about 20,000 square feet, is bermed into the hill to the southwest of the stadium and covered with grass.

Among the major donors for the complex are Dana and Sue Anderson, their son, Justin, and his wife, Jean, in whose honor the complex is named; Tom and Julie Kivisto, for whom the stadium field has been named; Charles and Sharon Lynch Kimbell; Frank Sabatini and family; and Ken Wagnon; an anonymous interest-free loan of $6.5 million also was made.","1146 Fambrough Way, Lawrence, KS 66044"
Anderson Family Strength and Conditioning Center,38.955918,-95.253641,Building,,"Named for Dana, a 1959 business graduate, and Sue Anderson of Los Angeles and their family, longtime KU supporters and its chief donors, the 42,000-square-foot facility at the northwest corner of Anschutz Sports Pavilion was dedicated April 19, 2003. It is used by all athletic department sports and houses the strength and conditioning department staff offices; weight, exercise and conditioning rooms; and conference and tutoring rooms.","1575 Irving Hill Rd, Lawrence, KS 66045"
Anschutz Library,38.957354,-95.25058,Building,,"Dedicated Oct. 7, 1989, it is named in honor of Fred and Marian Anschutz, parents of Philip Anschutz, a 1961 business alumnus and entrepreneur in telecommunications, entertainment and media companies, sports teams and arenas, railroads, and real estate. He and his wife, Nancy, gave $6.5 million for an endowed library acquisitions fund. Peckham Guyton Albers & Viets Inc. of Overland Park were the architects.

The library the Learning Studio, computer lab, the KU Writing Center, and scientific and technology holdings. It is a Regional Federal Depository for U.S. documents and an official depository library for the United Nations and the European Union. It also houses GIS and data services; instructional services; and the T.R. Smith Map Collection.","1301 Hoch Auditoria Dr, Lawrence, KS 66045"
Anschutz Sports Pavilion,38.955918,-95.253641,Building,,"The pavilion is named for Fred Anschutz, a 1933 alumnus who was its chief donor, and was dedicated Oct. 27, 1984. It houses practice areas for football, track, softball/baseball and soccer; the Ray Evans Football Field and Bill Easton Track practice areas; and the Shaffer-Holland Strength Center, superseded in March 2003 by the Anderson Family Strength and Conditioning Center.","1575 Irving Hill Rd, Lawrence, KS 66045"
Art & Design Building,38.957862,-95.25081,Building,,"The School of Fine Arts was founded in 1891, combining the Department of Music, established in 1877, and the Department of Art, established in 1885. Courses in drawing, painting, piano, violin, voice and other fine arts had been offered since KU's earliest years, but none of the disciplines had a permanent home. For several decades music teachers were paid by student fees, and the visual arts were taught as second or third subjects by faculty hired for other courses.

Between 1893 and 1917 the school was housed in the increasingly decrepit North College, the university's first building, until that was declared unfit for occupation. Rooms in the basement and first floor of the new Administration Building (later Strong Hall) were used by music; visual art had studios and classrooms on the top floor. By the early 1970s space in about a dozen campus buildings was being used, including Bailey Annex, Memorial Stadium, Flint Hall, Chamney House and Barn, the Wesley Building, and a duplex on 14th Street.

A long campaign for a dedicated building for at least the performing arts ended when the music and dance departments moved into the newly completed Murphy Hall in 1957. It shared performing space with the University Theatre but had its own wing for faculty studios, rehearsal rooms and administrative offices for the School of Fine Arts.

In 2009, an administrative reorganization created the School of Music, housed in Murphy Hall; and the School of the Arts, affiliated with the College of Liberal Arts and Sciences and comprising the departments of dance, film and media studies, theatre, and visual art. The offices for these departments remain in Art & Design and Murphy. Several design programs housed in Art & Design are now affiliated with the School of Architecture, Design and Planning.

Visual art faculty committees had begun serious planning for their own building about 1970, and funding was approved in 1975. Its design was by Paul Krause, a 1956 alumnus and principal at Horner & Krause of Kansas City, Kan., but construction estimates had to be redone to meet the budget, delaying the project. Construction began in 1977 on the hilltop south of Marvin Hall.

The new building of red brick, an open plan over steel trusses, had 115,000 square feet; it absorbed \new\ Fowler Shops, which had opened in 1949, adding about 26,600 square feet. Old mechanical engineering shops were razed to make way for the $5.75 million project, dedicated April 9, 1978.","1467 Jayhawk Blvd, Lawrence, KS 66045"
Baehr Audio-Reader Center,38.964988,-95.250128,Building,,"The Audio-Reader Center opened in November 1988 after the original 1910 building—formerly the Phi Kappa Theta fraternity house—was renovated by von Achen Chartered Architects. The center, a statewide reading service for blind and visually impaired people staffed largely by volunteer readers, is named for the Louis and Dolpha Baehr Charitable Foundation of Paola, Kan., a major donor to its programs.","1120 W 11TH St, Lawrence, KS 66044"
Bailey Hall,42.449209,-76.480157,Building,,"Bailey Hall, completed in 1900, was designed by John G. Haskell and built in response to surging enrollments in chemistry and pharmacy that made the 1883 Chemistry Hall (“the Shack”), also designed by Haskell, too small and outdated.

The new building was named in 1938 for E.H.S. Bailey, beloved professor (1883-1933) and department head (1883-1918), noted chemist and creator of the original “Rock Chalk” chant. He helped design the 1900 limestone structure, technically the New Chemistry Building but known from the first as “Bailey’s barn”; in 1954 the chemistry department and the School of Pharmacy moved to the new Malott Hall.

After renovations, the School of Education occupied the hall until 2001, when it moved into expanded and updated quarters in Joseph R. Pearson Hall. Bailey now houses several College of Liberal Arts & Sciences programs, including the communication studies department; African and African-American, American and European studies; African, East Asian, Latin American, and Russian, East European and Eurasian studies centers; humanities and Western civilization; and women, gender and sexuality studies. The Oread limestone building was listed on the National Register of Historic Places in 2001.","1440 Jayhawk Blvd, Lawrence, KS 66045"
